date,driving,transit,walking
6/29/2020,121.14,85.99,145.99
6/30/2020,125.11,83.84,153.75
7/1/2020,127.18,90.58,152.64
7/2/2020,133.74,96.92,158.85
7/3/2020,134.85,91.8,173.64
7/4/2020,108.09,75.23,136.39
7/5/2020,91.64,69.08,113.22
7/6/2020,114.45,83.5,145
7/7/2020,119.08,87.07,150.32
7/8/2020,127.35,89.62,155.26
7/9/2020,130.03,93.1,159.53
7/10/2020,144.91,98.79,178.88
7/11/2020,138.62,89.62,176.67
7/12/2020,101.34,73.21,123.1
7/13/2020,119.87,85.08,142.94
7/14/2020,123.8,86.54,150.92
7/15/2020,124.24,86.2,148.64
7/16/2020,129.06,91.86,154.75
7/17/2020,146.1,100.68,179
7/18/2020,137.34,91.39,178.41
7/19/2020,103.78,73.77,129.55
7/20/2020,121.62,85.46,143.79
7/21/2020,124.03,89.09,151.81
7/22/2020,126.06,81.67,153.45
7/23/2020,131.97,92.17,159.99
7/24/2020,148.78,96.95,183.59
7/25/2020,139.28,85.52,179.77
7/26/2020,106.76,80.24,129.45
7/27/2020,123,82.88,145.42
7/28/2020,122.47,79.61,147
7/29/2020,127.88,85.36,154.65
7/30/2020,136.32,89.22,163.08
7/31/2020,147.4,92.26,182.98
8/1/2020,141.57,90.99,184.37
8/2/2020,106.76,72.96,131.02
8/3/2020,126.84,87.88,155.39
8/4/2020,130.06,93.66,161.6
8/5/2020,130.1,87.6,159.53
8/6/2020,135.93,92.36,171.59
8/7/2020,157.63,98.35,193.86
8/8/2020,150.61,96.95,197.64
8/9/2020,113.07,81.35,139.56
8/10/2020,129,89.15,161.56
8/11/2020,131.26,87.85,171.73
8/12/2020,132.75,90.21,172.33
8/13/2020,138.36,90.3,175.07
8/14/2020,156.98,103.14,204.64
8/15/2020,147.32,99.66,204.38
8/16/2020,106.96,78,132.71
8/17/2020,124.51,82.35,161.51
8/18/2020,125.48,83.03,161.19
8/19/2020,127.86,82.78,158.81
8/20/2020,130.11,87.63,165.96
8/21/2020,152.54,91.58,194.28
8/22/2020,147.5,89.65,201.21
8/23/2020,107.79,79.77,134.12
8/24/2020,119.47,81.6,153.68
8/25/2020,122.89,83.47,159.3
8/26/2020,127.75,88.35,171.63
8/27/2020,131.05,91.24,169.29
8/28/2020,153.48,87.69,194.54
8/29/2020,141.65,89.56,191.56
8/30/2020,104.02,71.19,127.84
8/31/2020,119.34,84.84,152.18
9/1/2020,117.69,81.51,146.77
9/2/2020,119.87,76.97,153.72
9/3/2020,130.71,82.85,163.88
9/4/2020,155.07,96.24,193.78
9/5/2020,144.77,94.62,200.44
9/6/2020,114.24,80.67,148.23
9/7/2020,105.96,71.47,131.87
9/8/2020,122.49,84.62,157.27
9/9/2020,120.78,81.11,143.18
9/10/2020,128.62,82.19,154.84
9/11/2020,151.47,91.33,195.66
9/12/2020,150.86,93.94,212.4
9/13/2020,106.69,70.67,132.25
9/14/2020,120.28,83.59,151.67
9/15/2020,123.78,79.93,154.03
9/16/2020,125.64,90.4,160.14
9/17/2020,130.66,105.41,162.55
9/18/2020,158.52,113.27,201.42
9/19/2020,150.71,116.38,217.56
9/20/2020,106.08,86.86,141.3
9/21/2020,113.23,85.18,141.51
9/22/2020,114.09,90.4,144.95
9/23/2020,118.11,86.02,152.06
9/24/2020,127.22,96.58,159.55
9/25/2020,151.25,101.49,199.15
9/26/2020,148.27,103.82,224.18
